               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088038,            0.087762,            0.032014,             0.41009,             0.14394,            0.086415,            0.027227,            0.074478,             0.05022,            0.024559,            0.070395,           0.0032895,           0.0032895
                   1,            0.069054,            0.084663,            0.021424,             0.17326,             0.22258,             0.13501,            0.048305,            0.067437,            0.046779,            0.017539,            0.040176,           0.0064043,           0.0064043
                   2,             0.06497,             0.07967,            0.016038,             0.44576,             0.20302,             0.14355,            0.044769,            0.062214,            0.049233,            0.013806,           0.0097376,            0.009299,            0.009299
                   3,             0.05909,            0.079188,            0.013697,             0.50998,              0.2198,             0.18649,            0.070032,            0.054423,            0.048954,            0.009705,             0.00901,             0.00901,             0.00901
                   4,            0.054358,             0.07631,            0.011642,             0.52512,             0.23423,             0.22807,            0.070395,            0.055604,            0.051073,            0.012355,             0.00901,             0.00901,             0.00901
                   5,            0.051689,            0.081421,            0.010257,             0.32498,             0.37753,             0.30235,             0.10667,              0.0539,            0.050614,           0.0089912,             0.00868,             0.00868,             0.00868
                   6,            0.050474,             0.07768,           0.0087077,              0.2458,             0.35462,             0.26171,            0.085884,            0.053302,            0.054236,           0.0082165,             0.00835,             0.00835,             0.00835
                   7,            0.048413,             0.07532,           0.0086438,             0.25581,             0.30761,             0.25527,            0.088318,            0.051236,            0.049851,            0.008483,             0.00802,             0.00802,             0.00802
                   8,            0.048003,            0.077528,           0.0082441,              0.2836,             0.37079,             0.32131,             0.11596,            0.051662,            0.050803,           0.0061816,             0.00769,             0.00769,             0.00769
                   9,            0.045088,            0.074135,            0.007933,             0.37732,             0.35828,             0.32293,             0.11899,             0.05087,            0.049197,           0.0067812,             0.00736,             0.00736,             0.00736
                  10,            0.045785,             0.07354,           0.0078209,             0.27291,             0.44178,             0.33448,             0.12057,            0.050732,            0.048997,           0.0052966,             0.00703,             0.00703,             0.00703
                  11,            0.044217,              0.0744,           0.0067018,             0.32605,             0.35653,             0.33771,              0.1246,            0.049816,            0.051802,           0.0067703,              0.0067,              0.0067,              0.0067
                  12,            0.043644,            0.072642,            0.006158,              0.3461,             0.27936,             0.30649,             0.10636,             0.05219,            0.049934,           0.0043446,             0.00637,             0.00637,             0.00637
                  13,            0.042462,            0.071753,           0.0063294,             0.32425,             0.36662,             0.32085,             0.11844,            0.050859,             0.05046,           0.0064793,             0.00604,             0.00604,             0.00604
                  14,            0.042476,            0.071153,           0.0059974,             0.26903,             0.38575,             0.32039,             0.12225,            0.051188,            0.050711,           0.0046971,             0.00571,             0.00571,             0.00571
                  15,            0.041151,            0.072173,           0.0064007,             0.27191,             0.45253,             0.33111,             0.11704,            0.050319,            0.050041,           0.0047208,             0.00538,             0.00538,             0.00538
                  16,            0.040863,            0.069826,           0.0055712,             0.29487,             0.34652,             0.31974,             0.12253,             0.05028,            0.051072,           0.0058337,             0.00505,             0.00505,             0.00505
                  17,            0.040419,            0.071843,           0.0052736,              0.2735,             0.45704,             0.35317,             0.14446,            0.050755,            0.051605,           0.0042173,             0.00472,             0.00472,             0.00472
                  18,            0.039182,            0.069892,           0.0049778,             0.27574,             0.40727,             0.32789,             0.12859,            0.049636,              0.0503,           0.0048464,             0.00439,             0.00439,             0.00439
                  19,             0.03901,            0.067227,           0.0050961,             0.28202,             0.40463,             0.34122,             0.13705,            0.049103,            0.050865,           0.0063921,             0.00406,             0.00406,             0.00406
                  20,             0.03846,            0.067985,            0.004269,             0.28022,             0.44867,             0.32287,               0.123,            0.049727,            0.052521,            0.004476,             0.00373,             0.00373,             0.00373
                  21,            0.038167,             0.06547,            0.004443,             0.27727,             0.44341,             0.35413,             0.12879,            0.049639,            0.052909,           0.0049919,              0.0034,              0.0034,              0.0034
                  22,            0.037478,            0.067036,           0.0042385,             0.26005,             0.49297,             0.35322,             0.12934,            0.049944,            0.054513,           0.0057895,             0.00307,             0.00307,             0.00307
                  23,            0.036696,            0.065805,           0.0040492,             0.29312,             0.42892,             0.34537,             0.13412,            0.049444,            0.051414,            0.005256,             0.00274,             0.00274,             0.00274
                  24,            0.036806,            0.067086,           0.0036337,             0.31437,             0.42289,             0.34419,              0.1417,            0.049984,            0.051206,           0.0043883,             0.00241,             0.00241,             0.00241
                  25,            0.036389,             0.06469,           0.0039109,              0.3155,             0.36398,             0.34261,             0.13314,            0.049577,            0.052909,           0.0043078,             0.00208,             0.00208,             0.00208
                  26,            0.035354,            0.065213,           0.0034992,             0.29761,             0.45481,             0.36979,             0.14587,            0.049466,            0.052121,            0.004186,             0.00175,             0.00175,             0.00175
                  27,            0.035316,            0.063987,           0.0040314,              0.3484,             0.54193,              0.3766,             0.14361,            0.049221,            0.051914,           0.0041695,             0.00142,             0.00142,             0.00142
                  28,            0.034988,              0.0637,           0.0032442,             0.29351,             0.43883,             0.34399,               0.135,            0.049199,            0.051777,           0.0047256,             0.00109,             0.00109,             0.00109
                  29,            0.034464,            0.064031,            0.003564,             0.31561,             0.44428,             0.36457,             0.14501,            0.048443,            0.051808,           0.0050548,             0.00076,             0.00076,             0.00076
